date,c_close,c_ret%,cbot_close,cbot_ret%,oni,phase
2023-02-28,2837,-0.18,629.5,-7.39,-0.29,Neutral
2023-03-31,2724,-3.98,660.5,4.92,-0.02,Neutral
2023-04-30,2644,-2.94,636.0,-3.71,0.27,Neutral
2023-05-31,2633,-0.42,594.0,-6.6,0.57,Weak El Niño
2023-06-30,2728,3.61,554.5,-6.65,0.84,Weak El Niño
2023-07-31,2715,-0.48,504.0,-9.11,1.12,Moderate El Niño
2023-08-31,2733,0.66,461.0,-8.53,1.37,Moderate El Niño
2023-09-30,2628,-3.84,476.75,3.42,1.6,Strong El Niño
2023-10-31,2539,-3.39,478.75,0.42,1.83,Strong El Niño
2023-11-30,2501,-1.5,461.75,-3.55,1.99,Strong El Niño
2023-12-31,2413,-3.52,471.25,2.06,2.06,Strong El Niño
2024-01-31,2390,-0.95,448.25,-4.88,1.92,Strong El Niño
2024-02-29,2462,3.01,415.75,-7.25,1.62,Strong El Niño
2024-03-31,2415,-1.91,442.0,6.31,1.26,Moderate El Niño
2024-04-30,2388,-1.12,439.5,-0.57,0.82,Weak El Niño
2024-05-31,2434,1.93,446.25,1.54,0.49,Neutral
2024-06-30,2509,3.08,397.25,-10.98,0.22,Neutral
2024-07-31,2351,-6.3,382.75,-3.65,0.08,Neutral
2024-08-31,2338,-0.55,378.0,-1.24,-0.07,Neutral
2024-09-30,2225,-4.83,424.75,12.37,-0.17,Neutral
2024-10-31,2248,1.03,410.75,-3.3,-0.21,Neutral
2024-11-30,2163,-3.78,423.0,2.98,-0.3,Neutral
2024-12-31,2229,3.05,458.5,8.39,-0.42,Neutral
2025-01-31,2283,2.42,482.0,5.12,-0.45,Neutral
2025-02-28,2292,0.39,453.5,-5.91,-0.24,Neutral
2025-03-31,2251,-1.79,457.25,0.83,-0.06,Neutral
2025-04-30,2377,5.6,467.25,2.19,0.02,Neutral
2025-05-31,2336,-1.72,444.0,-4.98,-0.02,Neutral
2025-06-30,2378,1.8,420.5,-5.29,-0.04,Neutral
2025-07-31,2288,-3.78,394.0,-6.3,-0.14,Neutral
2025-08-31,2191,-4.24,398.0,1.01,-0.28,Neutral
2025-09-30,2143,-2.19,415.5,4.4,-0.4,Neutral
2025-10-31,2130,-0.61,431.5,3.85,-0.51,Weak La Niña
2025-11-30,2244,5.35,435.5,0.93,-0.55,Weak La Niña
2025-12-31,2226,-0.8,440.25,1.09,-0.54,Weak La Niña
2026-01-31,2271,2.02,428.25,-2.73,-0.37,Neutral
2026-02-28,2360,3.92,438.75,2.45,-0.15,Neutral
2026-03-31,2351,-0.38,457.75,4.33,0.11,Neutral
