date,sr_close,sr_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2024-10-31,5870,-0.76,-0.21,0.06,C. -0.5<ONI<0.5 (中性),0.29,-6.59,
2024-11-30,6135,4.51,-0.3,-0.08,C. -0.5<ONI<0.5 (中性),-6.06,-11.98,
2024-12-31,5961,-2.84,-0.42,-0.18,C. -0.5<ONI<0.5 (中性),-2.58,-11.91,
2025-01-31,5817,-2.42,-0.45,-0.27,C. -0.5<ONI<0.5 (中性),-0.41,-9.78,
2025-02-28,5931,1.96,-0.24,-0.3,C. -0.5<ONI<0.5 (中性),-5.51,-10.23,
2025-03-31,6075,2.43,-0.06,-0.28,C. -0.5<ONI<0.5 (中性),-9.58,-10.6,
2025-04-30,5887,-3.09,0.02,-0.24,C. -0.5<ONI<0.5 (中性),-6.86,,
2025-05-31,5763,-2.11,-0.02,-0.2,C. -0.5<ONI<0.5 (中性),-6.3,,
2025-06-30,5807,0.76,-0.04,-0.13,C. -0.5<ONI<0.5 (中性),-9.57,,
2025-07-31,5793,-0.24,-0.14,-0.08,C. -0.5<ONI<0.5 (中性),-9.41,,
