date,c_close,c_ret%,oni,oni_6m,bucket,fwd_6m,fwd_12m,fwd_18m
2021-05-31,2666,-2.45,-0.39,-0.74,D. -1.0<ONI≤-0.5 (弱 La Niña),-0.79,10.09,9.08
2021-06-30,2613,-1.99,-0.3,-0.61,D. -1.0<ONI≤-0.5 (弱 La Niña),2.26,6.39,8.08
2021-07-31,2573,-1.53,-0.35,-0.52,D. -1.0<ONI≤-0.5 (弱 La Niña),7.38,3.77,10.45
2021-08-31,2487,-3.34,-0.45,-0.46,C. -0.5<ONI<0.5 (中性),14.84,12.46,14.07
2021-09-30,2520,1.33,-0.63,-0.45,C. -0.5<ONI<0.5 (中性),12.7,10.04,8.1
2021-10-31,2627,4.25,-0.76,-0.48,C. -0.5<ONI<0.5 (中性),15.87,9.82,0.65
2021-11-30,2645,0.69,-0.91,-0.57,D. -1.0<ONI≤-0.5 (弱 La Niña),10.96,9.94,-0.45
2021-12-31,2672,1.02,-0.87,-0.66,D. -1.0<ONI≤-0.5 (弱 La Niña),4.04,5.69,2.1
2022-01-31,2763,3.41,-0.82,-0.74,D. -1.0<ONI≤-0.5 (弱 La Niña),-3.37,2.86,-1.74
2022-02-28,2856,3.37,-0.79,-0.8,D. -1.0<ONI≤-0.5 (弱 La Niña),-2.07,-0.67,-4.31
2022-03-31,2840,-0.56,-0.86,-0.84,D. -1.0<ONI≤-0.5 (弱 La Niña),-2.36,-4.08,-7.46
2022-04-30,3044,7.18,-0.95,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),-5.22,-13.14,-16.59
2022-05-31,2935,-3.58,-0.9,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),-0.92,-10.29,-14.79
2022-06-30,2780,-5.28,-0.78,-0.85,D. -1.0<ONI≤-0.5 (弱 La Niña),1.58,-1.87,-13.2
2022-07-31,2670,-3.96,-0.76,-0.84,D. -1.0<ONI≤-0.5 (弱 La Niña),6.44,1.69,-10.49
2022-08-31,2797,4.76,-0.87,-0.85,D. -1.0<ONI≤-0.5 (弱 La Niña),1.43,-2.29,-11.98
2022-09-30,2773,-0.86,-0.97,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),-1.77,-5.23,-12.91
2022-10-31,2885,4.04,-0.94,-0.87,D. -1.0<ONI≤-0.5 (弱 La Niña),-8.35,-11.99,-17.23
2022-11-30,2908,0.8,-0.85,-0.86,D. -1.0<ONI≤-0.5 (弱 La Niña),-9.46,-14.0,-16.3
2022-12-31,2824,-2.89,-0.71,-0.85,D. -1.0<ONI≤-0.5 (弱 La Niña),-3.4,-14.55,-11.15
2023-01-31,2842,0.64,-0.54,-0.81,D. -1.0<ONI≤-0.5 (弱 La Niña),-4.47,-15.9,-17.28
2023-02-28,2837,-0.18,-0.29,-0.72,D. -1.0<ONI≤-0.5 (弱 La Niña),-3.67,-13.22,-17.59
2023-03-31,2724,-3.98,-0.02,-0.56,D. -1.0<ONI≤-0.5 (弱 La Niña),-3.52,-11.34,-18.32
2023-04-30,2644,-2.94,0.27,-0.36,C. -0.5<ONI<0.5 (中性),-3.97,-9.68,-14.98
2023-05-31,2633,-0.42,0.57,-0.12,C. -0.5<ONI<0.5 (中性),-5.01,-7.56,-17.85
2023-06-30,2728,3.61,0.84,0.14,C. -0.5<ONI<0.5 (中性),-11.55,-8.03,-18.29
2023-07-31,2715,-0.48,1.12,0.42,C. -0.5<ONI<0.5 (中性),-11.97,-13.41,-15.91
2023-08-31,2733,0.66,1.37,0.69,B. 0.5≤ONI<1.0 (弱 El Niño),-9.92,-14.45,-16.14
2023-09-30,2628,-3.84,1.6,0.96,B. 0.5≤ONI<1.0 (弱 El Niño),-8.11,-15.33,-14.35
2023-10-31,2539,-3.39,1.83,1.22,A. ONI≥1.0 (中强 El Niño),-5.95,-11.46,-6.38
2023-11-30,2501,-1.5,1.99,1.46,A. ONI≥1.0 (中强 El Niño),-2.68,-13.51,-6.6
2023-12-31,2413,-3.52,2.06,1.66,A. ONI≥1.0 (中强 El Niño),3.98,-7.63,-1.45
2024-01-31,2390,-0.95,1.92,1.8,A. ONI≥1.0 (中强 El Niño),-1.63,-4.48,-4.27
2024-02-29,2462,3.01,1.62,1.84,A. ONI≥1.0 (中强 El Niño),-5.04,-6.9,-11.01
2024-03-31,2415,-1.91,1.26,1.78,A. ONI≥1.0 (中强 El Niño),-7.87,-6.79,-11.26
2024-04-30,2388,-1.12,0.82,1.61,A. ONI≥1.0 (中强 El Niño),-5.86,-0.46,-10.8
2024-05-31,2434,1.93,0.49,1.36,A. ONI≥1.0 (中强 El Niño),-11.13,-4.03,-7.81
2024-06-30,2509,3.08,0.22,1.06,A. ONI≥1.0 (中强 El Niño),-11.16,-5.22,-11.28
2024-07-31,2351,-6.3,0.08,0.75,B. 0.5≤ONI<1.0 (弱 El Niño),-2.89,-2.68,-3.4
